ID_MOEDA;DATA_REF;VL_COTACAO
USD;12/09/2005 00:00:00;4,054187059
USD;26/10/2011 00:00:00;4,859238446
USD;23/01/2013 00:00:00;1,125773072
USD;20/02/2004 00:00:00;7,371620297
USD;11/03/2013 00:00:00;4,909495771
USD;29/03/2011 00:00:00;5,615570426
USD;07/03/2011 00:00:00;5,211495757
USD;02/11/2015 00:00:00;2,389005005
USD;05/09/2006 00:00:00;5,461642504
USD;27/07/2001 00:00:00;3,436928272
USD;25/10/2006 00:00:00;3,053645134
USD;19/03/2007 00:00:00;4,958285272
USD;19/05/2009 00:00:00;5,724380076
USD;01/12/2005 00:00:00;4,756213307
USD;04/08/2014 00:00:00;6,631609201
USD;26/02/2002 00:00:00;1,252936363
USD;28/11/2011 00:00:00;3,008857727
USD;10/05/2006 00:00:00;7,623072147
USD;19/02/2002 00:00:00;4,751192749
USD;17/04/2014 00:00:00;1,227982938
USD;14/01/2000 00:00:00;5,241395473
USD;22/09/2000 00:00:00;2,535480738
USD;06/08/2001 00:00:00;2,407758355
USD;11/07/2012 00:00:00;5,321658492
USD;20/02/2008 00:00:00;6,549130261
USD;13/07/2011 00:00:00;4,838161111
USD;31/10/2005 00:00:00;3,978793561
USD;05/03/2013 00:00:00;7,854094207
USD;22/05/2014 00:00:00;5,984763622
USD;02/06/2006 00:00:00;5,129738629
USD;14/02/2013 00:00:00;6,339677453
USD;19/06/2003 00:00:00;6,148768544
USD;12/07/2002 00:00:00;6,820524573
USD;27/05/2015 00:00:00;4,372847557
USD;19/01/2015 00:00:00;7,317042112
USD;27/03/2012 00:00:00;3,632389188
USD;01/02/2007 00:00:00;2,924206674
USD;13/03/2001 00:00:00;6,574913144
USD;05/11/2009 00:00:00;4,074306428
USD;05/03/2002 00:00:00;1,375685751
USD;10/04/2015 00:00:00;5,418092191
USD;15/10/2008 00:00:00;2,391262233
USD;28/05/2008 00:00:00;3,759202421
USD;10/09/2002 00:00:00;3,203907251
USD;19/03/2015 00:00:00;4,621511877
USD;08/09/2015 00:00:00;4,112041354
USD;05/10/2012 00:00:00;7,944391251
USD;30/09/2003 00:00:00;2,166242063
USD;25/05/2000 00:00:00;5,743832707
USD;28/11/2013 00:00:00;1,582308471
USD;30/05/2006 00:00:00;5,10660851
USD;14/05/2013 00:00:00;2,367861331
USD;01/04/2013 00:00:00;5,9902035
USD;12/12/2013 00:00:00;5,05299288
USD;06/12/2001 00:00:00;3,222820401
USD;07/11/2014 00:00:00;6,507123291
USD;16/06/2005 00:00:00;7,863470674
USD;04/02/2015 00:00:00;2,834247589
USD;06/04/2011 00:00:00;5,382273197
USD;07/10/2002 00:00:00;2,54253906
USD;07/02/2002 00:00:00;6,147336185
USD;23/09/2002 00:00:00;4,279230177
USD;05/11/2003 00:00:00;6,540812314
USD;11/01/2002 00:00:00;7,058236122
USD;01/09/2008 00:00:00;1,237524211
USD;27/01/2010 00:00:00;6,981669784
USD;28/07/2003 00:00:00;5,508061707
USD;23/09/2014 00:00:00;4,610376358
USD;09/07/2003 00:00:00;7,384787321
USD;30/01/2002 00:00:00;2,748804629
USD;26/10/2005 00:00:00;5,034196138
USD;03/07/2009 00:00:00;1,600483537
USD;19/09/2012 00:00:00;3,985871077
USD;02/10/2003 00:00:00;5,90336448
USD;19/12/2005 00:00:00;4,974340796
USD;25/01/2000 00:00:00;7,340539396
USD;27/11/2002 00:00:00;6,884949446
USD;09/11/2000 00:00:00;6,864709496
USD;19/07/2013 00:00:00;1,023952067
USD;13/08/2009 00:00:00;7,213745773
USD;20/01/2004 00:00:00;3,357944906
USD;25/03/2002 00:00:00;7,011401355
USD;11/12/2014 00:00:00;6,474435627
USD;20/10/2003 00:00:00;1,862349093
USD;21/06/2013 00:00:00;4,091310322
USD;22/07/2005 00:00:00;2,55472517
USD;31/05/2006 00:00:00;6,784168184
USD;20/04/2006 00:00:00;3,945996165
USD;03/12/2010 00:00:00;2,912193298
USD;15/08/2014 00:00:00;4,804168761
USD;26/02/2015 00:00:00;1,622851372
USD;09/08/2000 00:00:00;4,330007792
USD;09/02/2015 00:00:00;1,688195407
USD;02/07/2008 00:00:00;3,442862988
USD;29/06/2007 00:00:00;5,660588562
USD;26/07/2010 00:00:00;1,038730025
USD;19/08/2008 00:00:00;1,196707606
USD;26/12/2011 00:00:00;7,764141798
USD;30/06/2006 00:00:00;3,083605349
USD;11/01/2010 00:00:00;3,605659604
USD;01/08/2012 00:00:00;3,313932717
USD;29/07/2010 00:00:00;1,972955763
USD;01/09/2000 00:00:00;5,864263117
USD;27/01/2014 00:00:00;2,357777655
USD;19/11/2015 00:00:00;6,478619218
USD;31/12/2002 00:00:00;5,683196306
USD;29/09/2000 00:00:00;7,696162522
USD;15/04/2005 00:00:00;3,655679107
USD;24/08/2000 00:00:00;6,0080356
USD;29/05/2012 00:00:00;7,16679877
USD;19/10/2011 00:00:00;2,491637945
USD;22/12/2015 00:00:00;7,072938979
USD;03/03/2014 00:00:00;7,47135222
USD;25/11/2009 00:00:00;2,477273047
USD;26/07/2011 00:00:00;2,538223207
USD;18/05/2004 00:00:00;3,970009565
USD;03/07/2003 00:00:00;7,849228859
USD;02/07/2002 00:00:00;7,444514155
USD;07/11/2005 00:00:00;1,848038435
USD;14/10/2013 00:00:00;4,090151668
USD;03/05/2002 00:00:00;6,253391266
USD;09/11/2012 00:00:00;1,170322239
USD;12/12/2001 00:00:00;4,667674899
USD;16/10/2009 00:00:00;2,983594716
USD;07/04/2008 00:00:00;3,42326057
USD;06/06/2006 00:00:00;2,457401931
USD;03/01/2012 00:00:00;4,543586612
USD;03/03/2006 00:00:00;3,409390926
USD;14/08/2014 00:00:00;4,514207602
USD;26/03/2002 00:00:00;3,191920996
USD;31/07/2000 00:00:00;7,584626257
USD;17/09/2002 00:00:00;5,6122697
USD;11/11/2005 00:00:00;5,799105167
USD;20/02/2006 00:00:00;7,437464178
USD;09/11/2009 00:00:00;3,381607831
USD;22/01/2010 00:00:00;5,248682439
USD;24/06/2010 00:00:00;5,758671999
USD;30/06/2009 00:00:00;7,81556195
USD;07/10/2014 00:00:00;7,397143245
USD;03/09/2009 00:00:00;5,200223804
USD;21/01/2003 00:00:00;3,087089241
USD;31/05/2010 00:00:00;5,378465533
USD;21/08/2006 00:00:00;2,756984055
USD;14/01/2015 00:00:00;3,364828408
USD;03/11/2004 00:00:00;6,007096827
USD;12/10/2009 00:00:00;2,933718741
USD;19/10/2005 00:00:00;4,759649217
USD;20/05/2004 00:00:00;7,268253446
USD;09/07/2001 00:00:00;6,160960078
USD;29/06/2011 00:00:00;7,865345716
USD;23/07/2004 00:00:00;4,495382071
